filename,author,realname,author_birth_year,author_death_year,author_sex,title,year,firstprint_description,edition_year,edition,genre,id
1970s/marchik.naslednik_favoritki.1978_1980.vert,"Марчик, Георгий Оскарович",,1929,2016,м,Наследник фаворитки,1978,"Наследник фаворитки. Сатир. повесть, М.: Моск. рабочий, 1978",1980,"Наследник фаворитки [Повесть : Для ст. школ. возраста], М.: Сов. Россия, 1980",realism,marchik.naslednik_favoritki
1970s/mashkov.kak_ya_byl_vunderkindom.1979_1982.vert,"Машков, Владимир Георгиевич",,1936,None,м,Как я был вундеркиндом,1979,"Как я был вундеркиндом. Повесть [Для мл. шк. возраста], Минск: Мастац. лiт., 1979",1982,"Как я был вундеркиндом, Минск: Юнацтва, 1982",realism,mashkov.kak_ya_byl_vunderkindom
1970s/matveeva.stupenki_nagretye_solncem.1979.vert,"Матвеева, Людмила Григорьевна",,1938,None,ж,"Ступеньки, нагретые солнцем",1979,"Ступеньки, нагретые солнцем. Повесть [Для мл. шк. возраста], М.: Дет. лит., 1979",1979,"Ступеньки, нагретые солнцем. Повесть [Для мл. шк. возраста], М.: Дет. лит., 1979",realism,matveeva.stupenki_nagretye_solncem
1970s/matveeva_ludmila.staryi_barabanschik.1971_1971.vert,"Матвеева, Людмила Григорьевна",,1938,None,ж,Старый барабанщик,1971,"Старый барабанщик [Повесть-сказка : Для мл. школьного возраста], М.: Дет. лит., 1971",1971,"Старый барабанщик [Повесть-сказка : Для мл. школьного возраста], М.: Дет. лит., 1971",skazka,matveeva_ludmila.staryi_barabanschik
1970s/medvedev_valeri.kapitan_sovri_golova.1971_1984.vert,"Медведев, Валерий Владимирович",,1923,1997,м,Капитан Соври-голова,1974,"Капитан Соври-голова, или 36 и 9. Повести [Для сред. школьного возраста], М.: Сов. Россия, 1974",1981,"Флейта для чемпиона. Капитан Сорви-голова. Повести [Для мл. шк. возраста], М.: Дет. лит., 1981",skazka,medvedev_valeri.kapitan_sovri_golova
1970s/medvedev_valeri.sverhprikluchenia_sverhkosmonavta.1977_1989.vert,"Медведев, Валерий Владимирович",,1923,1997,м,Сверхприключения сверхкосмонавта,1977,"Сверхприключения сверхкосмонавта. Мальчик в черном костюме. Капитан Соври-голова [Повести : Для сред. школьного возраста], М.: Моск. рабочий, 1977",1989,"Фантазии Баранкина. Поэма в 3 кн. [Для сред. шк. возраста], Ашхабад: Магарыф, 1989",skazka,medvedev_valeri.sverhprikluchenia_sverhkosmonavta
1970s/mielientev.obyknoviennaia_miomba.1978.vert,"Мелентьев, Виталий Григорьевич",,1916,1984,м,Обыкновенная Мёмба,1978,"Обыкновенная Мёмба, М.: Детская литература, 1978",1978,"Обыкновенная Мёмба, М.: Детская литература, 1978",fantasy,mielientev.obyknoviennaia_miomba
1970s/mihasenko.ya_druzhu_s_baboi_yagoi.1979.vert,"Михасенко, Геннадий Павлович",,1936,1994,м,Я дружу с Бабой Ягой,1979,"Я дружу с Бабой-Ягой. Повесть [Для сред. шк. возраста], Иркутск: Вост.-Сиб. кн. изд-во, 1979",1979,"Я дружу с Бабой-Ягой. Повесть [Для сред. шк. возраста], Иркутск: Вост.-Сиб. кн. изд-во, 1979",realism,mihasenko.ya_druzhu_s_baboi_yagoi
1970s/mikhalkov.prazdnik_neposlushaniia.1972.vert,"None, None None",,1913,2009,м,Праздник Непослушания,1972,"Праздник Непослушания, М.: Детская литература, 1972",1972,"Праздник Непослушания, М.: Детская литература, 1972",skazka,mikhalkov.prazdnik_neposlushaniia
1970s/mikhasenko.mily_ep.1973.vert,"Михасенко, Геннадий Павлович",,1936,1994,м,Милый Эп,1974,"Милый Эп, Иркутск: Восточно-Сибирское книжное издательство, 1974",1974,"Милый Эп, Иркутск: Восточно-Сибирское книжное издательство, 1974",realism,mikhasenko.mily_ep
1970s/mishkin.pticy_letaut_bez_kompasa.1976_1980.vert,"Мишкин, Александр Дмитриевич",,1927,None,м,Птицы летают без компаса,1976,"Голубые погоны. Повести. Александр Мишкин, Хабаровск: Кн. изд-во, 1976",1980,"Птицы летают без компаса. Повести, М.: Воениздат, 1980",realism,mishkin.pticy_letaut_bez_kompasa
1970s/moshkovskii.piatiero_v_zviezdoliotie.1975.vert,"Мошковский, Анатолий Иванович",,1925,2008,м,Пятеро в звездолете,1975,"Пятеро в звездолете, М.: Детская литература, 1975",1975,"Пятеро в звездолете, М.: Детская литература, 1975",fantasy,moshkovskii.piatiero_v_zviezdoliotie
1970s/moshkovskii.v_sumierkakh.1974_1987.vert,"Мошковский, Анатолий Иванович",,1925,2008,м,В сумерках,1974,"Остров, зовущий к себе, М.: Молодая гвардия, 1974",1987,"Избранное, М.: Детская литература, 1987",realism,moshkovskii.v_sumierkakh
1970s/moshkovskii.vzryv_u_moria.1979.vert,"Бодрова, Анна Григорьевна",,None,None,ж,Взрыв у моря,1979,"Взрыв у моря. Повесть [Для сред. шк. возраста], М.: Сов. Россия, 1979",1979,"Взрыв у моря. Повесть [Для сред. шк. возраста], М.: Сов. Россия, 1979",realism,moshkovskii.vzryv_u_moria
1970s/moshkovskiy_anatoliy.slavka.1974_1987.vert,"Мошковский, Анатолий Иванович",,1925,2008,м,Славка,1974,"Остров, зовущий к себе, М.: Молодая гвардия, 1974",1987,"Избранное [Для сред. и ст. возраста]. В 2 т., М.: Дет. лит., 1987",realism,moshkovskiy_anatoliy.slavka
1970s/musahanov.tam_za_povorotom.1975.vert,"Мусаханов, Валерий Яковлевич","Осипов, Лерри Яковлевич",1932,2012,м,Там за поворотом,1975,Костёр. 1975. № 5—7,1975,Костёр. 1975. № 5—7,realism,musahanov.tam_za_povorotom
1970s/navolochkin.kanikuly_kota_egora.1972.vert,"Наволочкин, Николай Дмитриевич",,1923,2013,м,Каникулы кота Егора,1972,"Каникулы кота Егора. Повесть [Для мл. школьного возраста], Хабаровск: Кн. изд-во, 1972",1972,"Каникулы кота Егора. Повесть [Для мл. школьного возраста], Хабаровск: Кн. изд-во, 1972",animalistic,navolochkin.kanikuly_kota_egora
